hanzi,translation,pinyin,location
白天,day,báitiān,audios/báitiān.mp3
半年,Half a year,bànnián,audios/bànnián.mp3
半天,long time,bàntiān,audios/bàntiān.mp3
帮,help,bāng,audios/bāng.mp3
包子,bun,bāozi,audios/bāozi.mp3
杯,cup,bēi,audios/bēi.mp3
北,north,běi,audios/běi.mp3
北边,North side,běibiān,audios/běibiān.mp3
本子,book,běnzi,audios/běnzi.mp3
别的,Other,biéde,audios/biéde.mp3
别人,other people,biérén,audios/biérén.mp3
病,disease,bìng,audios/bìng.mp3
病人,patient,bìngrén,audios/bìngrén.mp3
不大,Not big,bùdà,audios/bùdà.mp3
不对,wrong,búduì,audios/búduì.mp3
不用,No need to,bùyòng,audios/bùyòng.mp3
常,often,cháng,audios/cháng.mp3
常常,often,chángcháng,audios/chángcháng.mp3
唱,sing,chàng,audios/chàng.mp3
车,car,chē,audios/chē.mp3
车票,ticket,chēpiào,audios/chēpiào.mp3
车上,In the car,chēshàng,audios/chēshàng.mp3
车站,station,chēzhàn,audios/chēzhàn.mp3
吃饭,eat,chīfàn,audios/chīfàn.mp3
出来,come out,chūlái,audios/chūlái.mp3
出去,Go out,chūqù,audios/chūqù.mp3
床,bed,chuáng,audios/chuáng.mp3
从,From,cóng,audios/cóng.mp3
打,hit,dǎ,audios/dǎ.mp3
打车,Take a taxi,dǎchē,audios/dǎchē.mp3
打开,turn on,dǎkāi,audios/dǎkāi.mp3
打球,Play ball,dǎqiú,audios/dǎqiú.mp3
大学,the University,dàxué,audios/dàxué.mp3
大学生,College Students,dàxuéshēng,audios/dàxuéshēng.mp3
得到,get,dédào,audios/dédào.mp3
地点,location,dìdiǎn,audios/dìdiǎn.mp3
地上,On the ground,dìshàng,audios/dìshàng.mp3
第,First,dì,audios/dì.mp3
电,Electricity,diàn,audios/diàn.mp3
电话,phone,diànhuà,audios/diànhuà.mp3
电视机,TV set,diànshìjī,audios/diànshìjī.mp3
电影院,cinema,diànyǐngyuàn,audios/diànyǐngyuàn.mp3
东边,East side,dōngbiān,audios/dōngbiān.mp3
动,move,dòng,audios/dòng.mp3
读书,reading,dúshū,audios/dúshū.mp3
饭,rice,fàn,audios/fàn.mp3
饭店,restaurant,fàndiàn,audios/fàndiàn.mp3
房子,house,fángzi,audios/fángzi.mp3
放假,holiday,fàngjià,audios/fàngjià.mp3
放学,After school,fàngxué,audios/fàngxué.mp3
飞,fly,fēi,audios/fēi.mp3
风,wind,fēng,audios/fēng.mp3
干,dry,gàn,audios/gàn.mp3
干,dry,gàn,audios/gàn.mp3
干什么,What to do,gànshénme,audios/gànshénme.mp3
歌,song,gē,audios/gē.mp3
关上,close,guānshàng,audios/guānshàng.mp3
国,country,guó,audios/guó.mp3
国外,foreign,guówài,audios/guówài.mp3
还有,and also,háiyǒu,audios/háiyǒu.mp3
汉字,Chinese character,hànzì,audios/hànzì.mp3
好看,good looking,hǎokàn,audios/hǎokàn.mp3
好听,Nice,hǎotīng,audios/hǎotīng.mp3
好玩儿,Fun,hǎowánér,audios/hǎowánér.mp3
