岸上,ashore
拔,pull
白酒,White wine
版,Version
棒,Baton
报警,Call the police
抱怨,complain
背包,backpack
悲剧,tragedy
悲伤,sad
辈,generation
必,must
必需,Required
闭幕,Closing
闭幕式,Closing Ceremony
变动,change
宾馆,Hotel
饼,cake
博客,Blog
不利,unfavorable
不幸,unfortunately
不易,Not easy
不曾,Never
不良,bad
不免,Inevitably
不能不,Can&#39;t help but
不停,Non-stop
不许,Not allowed
猜测,guess
餐馆,restaurant
餐厅,restaurant
餐饮,food
草原,grassland
叉,cross
差别,difference
差距,gap
查询,Inquire
拆除,tear down
长度,length
长寿,longevity
肠,intestinal
厂长,Plant manager
车主,Car owner
称²,Weigh ²
城里,In the city
乘,Multiply
乘车,Ride
乘客,passenger
池子,pond
迟,late
愁,worry
出汗,Sweating
出于,Out of
初期,Early
厨房,kitchen
处罚,Punishment
处在,Be in
传递,transfer
辞典,dictionary
此后,After that
此刻,now
此时,at this time
从中,from
脆,brittle
存款,deposit
寸,Inch
答,answer
打,hit
大胆,Bold
大都,Most
大纲,Outline
大奖赛,Grand Prix
大脑,brain
大事,event
大厅,hall
大熊猫,Giant panda
大于,more than the
待,To be
带有,With
单一,single
胆,Guts
胆小,timid
当代,Contemporary
当年,then
到来,arrival
倒是,But
得了,Got it
得以,Be able to
等候,waiting
低于,Below
地带,zone
地形,terrain
递给,Hand it to
点燃,ignite
电饭锅,Rice cooker
电子版,e-edition
豆制品,Soy products
毒,poison
朵,Do
躲,hide
儿女,Children
二维码,QR code
罚,Punish
法规,Regulations
法制,legal system
返回,return
分成,Divided into
分类,classification
分离,Separate
分享,share it
封,seal
疯,Crazy
服从,obey
负责人,principal
钢笔,pen
钢琴,piano
高大,tall
高度,height
高跟鞋,High heels
高温,high temperature
高于,Higher than
高原,plateau
搞好,Do well
歌曲,song
个儿,height
更换,replace
工艺,Craft
工作日,Working day
共享,shared
沟,ditch
古老,ancient
鼓,drum
鼓掌,applaud
怪,strange
关怀,care
光荣,glory
光线,Light
广,wide
鬼,ghost
柜子,cabinet
国籍,Country of Citizenship
国民,national
害,harm
好运,good luck
盒,box
盒饭,Box lunch
贺卡,Greeting card
猴,monkey
胡同儿,Alley
胡子,Moustache
虎,tiger
华语,Chinese
滑,slip
画面,Picture
慌,Panic
慌忙,hurried
灰色,gray
回头,Look back
回信,reply
汇款,money transfer
会谈,talks
火腿,Ham
火灾,Fire
或是,Or
机器人,robot
机制,mechanism
挤,squeeze
技能,skill
加热,heating
加上,Plus
加速,accelerate
加以,Add
夹,folder
价,price
驾照,driver&#39;s license
肩,shoulder
减轻,Alleviate
剪,Cut
剪子,scissors
建造,put up
键,key
将,will
将要,will
郊区,suburbs
胶带,tape
脚步,pace
解放,liberation
戒,Quit
今日,today
紧紧,tightly
尽可能,As much as possible
景象,scene
酒鬼,drunkard
救灾,Disaster relief
局长,Director
决不,never
军人,soldier
开幕,Opening
看成,Regarded as
看出,see
烤肉,Barbecue
烤鸭,Roast Duck
靠近,near
咳,cough
可,can
客气,polite
客厅,living room
空中,In the air
口号,slogan
库,Library
宽度,width
狂,mad
亏,deficit
困扰,Trouble
落,drop
来信,Letter
朗读,Read aloud
礼,ceremony
礼拜,worship
立,Stand up
连接,connection
脸盆,washbasin
脸色,Face
两岸,Cross-strait
铃声,ring
领带,tie
令,make
流动,flow
漏洞,Loophole
买卖,Buy and sell
毛笔,Writing brush
冒,Risk
煤,coal
煤气,gas
门诊,Outpatient
秒,second
敏感,sensitive
明亮,Bright
摩托,Motorcycle
男性,male
南北,North and South
南极,Antarctica
难以,difficult
脑子,Brain
年前,Years ago
牛,Cattle
农产品,Agricultural products
女性,female
暖,warm
偶像,idol
拍摄,Shoot
旁,beside
赔,pay
喷,spray
皮鞋,leather shoes
脾气,temper
骗子,con man
拼,spell
品,Product
品,Product
品种,Variety
葡萄,grape
葡萄酒,wine
其,its
启动,start up
起到,Up to
气体,gas
签,sign
签订,Signed
签名,signature
签约,Sign up
签字,signature
强度,strength
墙壁,wall
敲门,Knock on the door
琴,Piano
全都,all
全世界,worldwide
泉,spring
群体,group
热量,Calories
人力,Manpower
忍,endure
认,recognize
如此,in this way
如同,as
如下,as follows
入门,getting Started
软,soft
散,Scattered
杀毒,Antivirus
山区,Mountain
扇,fan
扇,fan
扇子,fan
上下,up and down
上涨,rise
稍,a little
舍得,Willing
社,Society
射,Shoot
摄像,Camera
摄像机,Video camera
摄影师,Photographer
深处,deep
深度,depth
神,God
神经,nerve
神情,look
升高,Elevated
生成,generate
声,sound
剩下,Left
诗歌,Poetry
使得,Make
式,formula
视频,video
视为,Regarded as
收购,Acquisition
收集,collect
手段,means
寿司,Sushi
受灾,Disaster
书柜,bookcase
书桌,desk
输出,Output
鼠,mouse
数目,number
摔,fall
摔倒,fall
双手,Hands
水产品,Aquatic products
水分,Moisture
水库,Reservoir
水灾,flood
睡眠,Sleep
说法,statement
四周,All around
搜,Search
搜索,search for
酸甜苦辣,ups and downs
随后,Subsequently
损害,damage
所在,Where
抬头,look up
弹,bomb
逃跑,Run away
逃走,escape
桃花,Peach blossom
桃树,peach
特性,characteristic
特有,Peculiar
提起,Mention
体积,volume
体力,physical strength
厅,hall
停留,Stay
偷,steal
偷偷,secretly
兔,rabbit
团长,Head
推行,Implement
完了,It&#39;s over
微博,Weibo
为止,until
为主,Mainly
违法,Illegal
违规,Violation
委托,Commission
握,grip
污水,Sewage
屋,house
无疑,undoubtedly
舞,dance
物价,Price
物业,Property
西装,Suit
喜剧,comedy
戏,play
先后,Successively
闲,idle
显,Show
现有,existing
献,offer
乡,township
乡村,rural
香肠,sausage
向前,forward
向上,up
相声,crosstalk
消费者,consumer
消极,negative
小偷儿,Thief
协议书,Agreement
信箱,mailbox
行驶,Driving
雄伟,majestic
熊,Bear
选修,Elective
学科,Subject
学者,scholar
寻求,seek
押金,deposit
鸭子,duck
言语,speech
研究所,graduate School
摇头,Shaking his head
也好,Also good
夜间,at night
依法,According to law
依照,according to
一带,Around
一句话,One sentence
一路,All the way
一下儿,a while
一下子,all of a sudden
一口气,In one breath
一身,All in one
饮料,Drink
印刷,print
应,should
硬,hard
用不着,No need
用来,Used to
用于,Used for
由此,thus
游泳池,swimming pool
有毒,poisonous
有害,harmful
有力,powerful
有利于,beneficial to
有着,have
雨水,rainwater
预备,preparation
原有,original
远处,far away
怨,blame
愿,willing
月饼,moon cake
月球,Moon
阅览室,Reading room
运,Luck
灾,disaster
灾区,disaster area
再次,once again
再也,Never again
在场,Present
在内,Inside
暂停,time out
糟,Bad
早期,Early
增,increase
增产,Increase production
增大,Increase
增多,increase
增强,Enhance
赠,Gift
占有,Possess
涨价,Price increase
招生,Admissions
招手,wave
真诚,sincere
真理,truth
正版,Genuine
正如,Just like
挣,earn
挣钱,Earn money
之内,within
之外,Outside
之下,under
之中,Among
执行,carried out
直线,straight line
只不过,only
只见,I saw
至,to
制成,production
中秋节,Moon Festival
中药,traditional Chinese medicine
中毒,Poisoning
众多,numerous
主体,main body
专辑,Album
转化,Transform
转换,Conversion
转向,Turn to
撞,hit
自杀,suicide
总数,total
总体,overall
组织,organization
